n_rff,signal_sd,noise_sd,lengthscale_mode,initial_lengthscale,initial_treatment_lengthscale,estimand,method,selected_lengthscale_mean,selected_lengthscale_min,selected_lengthscale_max,selected_treatment_lengthscale_mean,selected_treatment_lengthscale_min,selected_treatment_lengthscale_max,n_reps,bias,bias_mcse,mean_abs_error,median_abs_error,rmse,coverage,coverage_mcse,nominal_coverage,mean_ci_width,empirical_sd_posterior_mean,mean_posterior_sd
50,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.1410570999601911,0.024315045255187642,0.41224078508202455,0.20692888902030626,0.7813624701668493,0.837,0.011680368144883107,0.95,1.354645971449804,1.414972076980652,0.34618859404130786
50,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.08416810174354776,0.01565833880132926,0.2755181236408329,0.15419247853271068,0.5020185851084683,0.969,0.005480784615363026,0.95,1.4990291984244937,1.3088302094133573,0.3802626066911737
50,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.1413832243353824,0.024255132146489177,0.4136210885124214,0.2038810325581113,0.779559067763103,1.0,0.0,0.95,3.7231816025353326,1.4155423494305144,0.9515777831421915
50,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.0838376376599083,0.015667232578090294,0.2756599244575907,0.1543548832979309,0.5022404443767069,0.96,0.00619677335393187,0.95,1.438159946500566,1.309265037407181,0.3651659600630106
100,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.12672114060443834,0.014421068765040065,0.2751068283195702,0.153169705744445,0.4730935473854806,0.946,0.0071473071852271785,0.95,1.4378927439565936,1.292614288288307,0.3679092528434857
100,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.08014418846873132,0.01148163818693451,0.22082738788243433,0.1315102961121899,0.371644021054461,0.959,0.006270486424512857,0.95,1.2402553928533773,1.2978915911630176,0.3149425936100181
100,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.1276127872209308,0.014337527324902056,0.2744303508867938,0.15082788500010613,0.4707909818218859,1.0,0.0,0.95,5.212593260821554,1.292315952318792,1.3333551166279871
100,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.08023271114558432,0.01144814203495029,0.22057730717657412,0.13309707652967262,0.3706294430210775,0.944,0.007270763371201131,0.95,1.1552299848251673,1.2976194623874333,0.29344915898455554
200,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.1020755636553088,0.009906436621099204,0.20784346970535833,0.13449631665651185,0.32933079075130006,0.98,0.0044271887242357325,0.95,1.4926732038491173,1.3269382454193641,0.38195471990911983
200,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.06160813284711036,0.008642305640932246,0.17641009230432383,0.11894241043116671,0.2800184268533148,0.966,0.005730968504537434,0.95,1.1642370471079393,1.3346867876783315,0.2962796160279196
200,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.10167840735619646,0.010117840983630999,0.21031306390345755,0.13187432994533355,0.33556941753736386,1.0,0.0,0.95,7.200041593627281,1.3226804119432936,1.8413432312683449
200,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.06152681778908069,0.008679996179314782,0.17672359505877913,0.11920468416409413,0.28116283653160323,0.969,0.005480784615363026,0.95,1.1665211945724472,1.3353319737905185,0.29438785622885144
400,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.10021852522800193,0.007942153852977245,0.16630088443091626,0.11226541362702225,0.27029332736013406,0.985,0.0038438262187565153,0.95,1.526172651174755,1.293751078794608,0.39022387370325456
400,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_full_gaussian_onestep_logistic_pi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.07178513451010472,0.0075213786160821285,0.15647446992068,0.10871908390069107,0.24832976198354656,0.976,0.004839834707921338,0.95,1.13979485272681,1.3039401222553855,0.2909162133104153
400,1.0,0.5,fixed,10.0,0.55,sample_ate,rff_meanfield_vi,10.0,10.0,10.0,0.5499999999999999,0.55,0.55,1000,-0.10232257451964101,0.008189469810633586,0.17394251843167738,0.11377366651945953,0.2783347941236005,1.0,0.0,0.95,9.840840770334637,1.3018739464798705,2.5165753473422527
