scenario,n_rff,pi_clip,estimand,method,n_reps,bias,bias_mcse,mean_abs_error,median_abs_error,rmse,coverage,coverage_mcse,coverage_wilson_lower,coverage_wilson_upper,nominal_coverage,mean_ci_width,empirical_sd_posterior_mean,mean_posterior_sd,empirical_to_posterior_sd_ratio
strong_heterogeneous,200,0.02,population_ate_bb,rff_full_gaussian,200,-0.04317732667168526,0.009688373413787112,0.11470878035684187,0.10269960325796312,0.14332945559131882,0.945,0.016120638945153514,0.9042130012276914,0.9690146582965411,0.95,0.5354630080895595,0.13701429079112656,0.1369739689735745,1.0002943757697482
strong_heterogeneous,200,0.02,population_ate_bb,rff_full_gaussian_onestep_logistic_pi,200,-0.013343948510002961,0.009769025803668558,0.11022827054442733,0.10406524513890208,0.13845360279614718,0.97,0.012062338081814825,0.9361057075454807,0.9861796856598887,0.95,0.5534247637459654,0.138154887827208,0.14129817429307492,0.977754231563196
strong_heterogeneous,200,0.02,population_ate_bb,rff_meanfield_vi,200,-0.042658154150944795,0.009704317232502,0.1148366211565693,0.10107243952862988,0.1433886290206577,1.0,0.0,0.9811546736227335,1.0,0.95,1.9844668727641095,0.1372397704377527,0.5072156885689154,0.2705747742641165
strong_heterogeneous,200,0.02,population_ate_bb,rff_meanfield_vi_onestep_logistic_pi,200,-0.013603054978409988,0.009751858221571732,0.1101774769978065,0.10173779545631961,0.13823781002569174,0.98,0.009899494936611668,0.9497129130941735,0.9921955735836505,0.95,0.6133441505948511,0.13791210155286315,0.15617868885550437,0.8830404619445784
strong_heterogeneous,200,0.02,sample_ate,rff_full_gaussian,200,-0.04278439974366039,0.00961537629897336,0.11494336427318047,0.09863222866204069,0.1422291871390194,0.945,0.016120638945153514,0.9042130012276914,0.9690146582965411,0.95,0.5167862747086595,0.1371233910082574,0.1321886393619017,1.037331132767359
strong_heterogeneous,200,0.02,sample_ate,rff_full_gaussian_onestep_logistic_pi,200,-0.013143514031607306,0.009659836668220312,0.11095078720886606,0.10375887910582199,0.1369011629168325,0.965,0.012995191418367032,0.9295293884777092,0.9829444579914328,0.95,0.5431725410632039,0.13777386253737353,0.13852912668601358,0.994547975817736
strong_heterogeneous,200,0.02,sample_ate,rff_meanfield_vi,200,-0.042258274756068845,0.009615000629492597,0.11454237219814845,0.10302143544616604,0.14206674828855229,1.0,0.0,0.9811546736227335,1.0,0.95,1.9786024334356618,0.137328210071336,0.5055436749352048,0.2716446014064705
strong_heterogeneous,200,0.02,sample_ate,rff_meanfield_vi_onestep_logistic_pi,200,-0.013292175936682828,0.009658586710105511,0.11097392084291544,0.10095746442666925,0.13689796598642534,0.985,0.008595056718835545,0.9568342712073097,0.9948857622067417,0.95,0.6085428251184353,0.13779827991862365,0.15497720623472935,0.8891519163786809
strong_homogeneous,200,0.02,population_ate_bb,rff_full_gaussian,200,-0.026123552886895576,0.00993269318912041,0.1159682836169091,0.10537051331126662,0.14253231359689994,0.955,0.014658615214269054,0.9167032959981803,0.976147456998507,0.95,0.5319490444656509,0.14046949418944954,0.13611272455007722,1.0320085403754402
strong_homogeneous,200,0.02,population_ate_bb,rff_full_gaussian_onestep_logistic_pi,200,0.0005041453432094545,0.010231064657648137,0.11691338232145398,0.09152270651632843,0.14432780842337162,0.95,0.015411035007422448,0.9104218518612239,0.972617354399236,0.95,0.5500310537674783,0.14468910396362042,0.14051010554428828,1.029741621808226
