kind,n_inducing,coverage,bias,std_abs_bias,rmse,mean_posterior_sd,emp_to_post_sd_ratio,n_reps,passes
raw_cal,80,1.0,-0.0952943553287822,0.17566513343231135,0.20361349557414765,0.5424773457705069,2.3336848955783767,1000,False
raw_cal,120,0.995,-0.09484734334011748,0.21167515167180337,0.19824604916427754,0.44807972306156996,2.842274259617921,1000,False
raw_cal,160,0.994,-0.09089607061502901,0.21486532157072913,0.18754574362091275,0.42303741688305874,3.022011333856943,1000,False
raw_cal,200,0.989,-0.0886797426201318,0.21588009193473592,0.1804333106526753,0.41078240158866125,3.120936080168829,1000,False
raw_cal,240,0.988,-0.08696256824757914,0.2153107278083487,0.17829147889664831,0.40389333654097265,3.1752164165272565,1000,False
raw_cal,280,0.989,-0.08440484619635193,0.20999599524125023,0.17554248591203211,0.40193550405275535,3.195233288635629,1000,False
raw_cal,320,0.988,-0.08360358480102956,0.20867077207561865,0.17553248410378575,0.40064827464544517,3.2091841432848556,1000,False
raw_cal,400,0.987,-0.08451754790571021,0.21137382119123643,0.17578907544513256,0.399848701364227,3.2117167345529656,1000,False
raw_cal,480,0.99,-0.08424815355639836,0.21102115187725998,0.1749864705521173,0.399240326417141,3.2186419956803562,1000,False
corrected_cal,80,0.992,-0.06324108823243864,0.19221612162734786,0.19253411259137526,0.32901032284401743,3.9054085201414934,1000,False
corrected_cal,120,0.988,-0.06656001416867763,0.2142422841519026,0.19064562032595364,0.31067636546240834,4.151636595449779,1000,False
corrected_cal,160,0.985,-0.06510244394469447,0.21462505937695,0.18202549737276444,0.3033310468669636,4.263502838230794,1000,False
corrected_cal,200,0.987,-0.06449633134608762,0.21554947100741415,0.17840334814131634,0.2992182307135849,4.335968466807964,1000,False
corrected_cal,240,0.984,-0.06339156971088326,0.21385550837093495,0.1761288863616084,0.2964224311722185,4.372327730138133,1000,False
corrected_cal,280,0.987,-0.0617168105240948,0.20910703157361016,0.17417308354492095,0.29514459681079236,4.396148947715384,1000,False
corrected_cal,320,0.984,-0.062039813843461314,0.2109296030596993,0.1735797854553829,0.2941256843208595,4.410746967507233,1000,False
corrected_cal,400,0.987,-0.062453216342222256,0.21331917469150444,0.17321222740887046,0.2927688822748361,4.427586683826669,1000,False
corrected_cal,480,0.985,-0.06175747297221656,0.2114090352803181,0.17217703540924317,0.29212314833341513,4.439314919717415,1000,False
