run_name,run_dir,n,reps,draws,nominal_coverage,estimand,pi_clip,scenario,kind,variant,target,method,reference_method,m_threshold,n_passing_ranks,n_stably_passing_ranks,available_ranks
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,counterfactual_process,,strong_heterogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,240.0,5,5,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,counterfactual_process,,strong_homogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,240.0,5,5,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,counterfactual_process,,weak_heterogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,240.0,5,5,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,counterfactual_process,,weak_homogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,240.0,5,5,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_logistic_pi,true_value,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,120.0,7,7,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,120.0,7,7,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_homogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_logistic_pi,true_value,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_homogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_homogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,strong_homogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_logistic_pi,true_value,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,120.0,7,7,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_homogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_logistic_pi,true_value,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_homogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,80.0,8,8,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_homogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"80,120,160,240,320,400,480,560"
three_m_n1000_map_j1e8_logistic_r200_20260805,<source-workspace>/outputs/module5_svgp/three_m_n1000_map_j1e8_logistic_r200_20260805,1000,200,2000,0.95,population_ate_bb,0.02,weak_homogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,80.0,8,8,"80,120,160,240,320,400,480,560"
