run_name,run_dir,n,reps,draws,nominal_coverage,signal_sd,scenario,n_inducing,pi_clip,estimand,kind,variant,target,method,reference_method,gp_mean_standardization,n_reps_complete,mean_predictive_mean_standardized_rmse,q95_predictive_mean_standardized_rmse,mean_predictive_cov_relative_frobenius,q95_predictive_cov_relative_frobenius,mean_standardized_mean_abs_diff,q95_standardized_mean_abs_diff,mean_sd_ratio,mean_abs_sd_ratio_error,q95_abs_sd_ratio_error,mean_ci_width_ratio,mean_abs_ci_width_ratio_error,q95_abs_ci_width_ratio_error,bias,absolute_bias,standardized_abs_bias,mean_abs_error,rmse,coverage,coverage_error,coverage_wilson_lower,coverage_wilson_upper,mean_ci_width,mean_posterior_sd,empirical_sd_posterior_mean,empirical_to_posterior_sd_ratio,abs_empirical_to_posterior_sd_ratio_error,pass_gp_mean,pass_gp_cov,pass_mean,pass_sd,pass_width,pass_coverage,pass_bias,passes_threshold
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,160,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.41931982993958633,0.5510486906612588,0.6644078092288365,1.0373299054205767,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,240,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.18405581256167555,0.2850940476471553,0.23160263809510048,0.41273374642183336,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,280,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.12239552145595843,0.18828226819827193,0.1445065434253535,0.25923896222884507,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,320,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.08280079629701302,0.12823463253882503,0.09320029664547626,0.16816662909656513,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,True
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,400,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.0445028542878671,0.07572750656271317,0.04347829176114039,0.08599105871149156,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,True
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,480,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.025893901995767646,0.04721056439553872,0.022406633779038794,0.04772719660747192,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,True
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_heterogeneous,640,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.010369540714133032,0.020566966217159005,0.0074183625803117105,0.01583422593836558,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,True
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_homogeneous,160,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.4332791880995312,0.5382168935176197,0.6715749224929387,0.9702653194133236,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_homogeneous,240,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.18462509788503526,0.25983501428308897,0.22931195963730464,0.3672351411353984,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,1.0,strong_homogeneous,280,,counterfactual_process,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,exact_counterfactual_rms_posterior_sd,100,0.12017240309517822,0.17768697523837493,0.14371163095096917,0.22897101384405058,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,False
